Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
370,Rodrigo Muniz,br BRA,FW,Fulham,23.0,2001.0,31,8,964,10.7,8,1,9
371,Daniel MuÃ±oz,co COL,DF,Crystal  Palace,28.0,1996.0,37,37,3228,35.9,4,5,9
372,Arijanet Muric,xk KVX,GK,Ipswich Town,25.0,1998.0,18,18,1620,18.0,0,0,0
373,Murillo,br BRA,DF,Nott'ham  Forest,22.0,2002.0,36,36,3188,35.4,2,0,2
374,Jacob Murphy,eng ENG,FW,Newcastle  Utd,29.0,1995.0,35,31,2360,26.2,8,12,20
375,Vitaliy Mykolenko,ua UKR,DF,Everton,25.0,1999.0,35,35,3082,34.2,1,2,3
376,Iliman Ndiaye,sn SEN,FW,Everton,24.0,2000.0,33,29,2430,27.0,9,0,9
377,Wilfred Ndidi,ng NGA,MF,Leicester  City,27.0,1996.0,28,28,2324,25.8,0,5,5
378,Kosta NedeljkoviÄ,rs SRB,DF,Aston Villa,18.0,2005.0,5,0,126,1.4,0,0,0
379,Reiss Nelson,eng ENG,FW,Arsenal,24.0,1999.0,1,0,3,0.0,0,0,0
381,Neto,br BRA,GK,Bournemouth,35.0,1989.0,2,2,180,2.0,0,0,0
382,Pedro Neto,pt POR,FW,Chelsea,24.0,2000.0,35,24,2269,25.2,4,6,10
383,Eddie Nketiah,eng ENG,"FW,MF",Crystal  Palace,25.0,1999.0,29,9,1034,11.5,3,1,4
384,Christopher Nkunku,fr FRA,FW,Chelsea,26.0,1997.0,27,9,921,10.2,3,2,5
385,Gustavo Nunes,br BRA,"FW,MF",Brentford,18.0,2005.0,3,0,12,0.1,0,0,0
386,Matheus Nunes,pt POR,"DF,MF",Manchester  City,25.0,1998.0,26,19,1674,18.6,1,6,7
387,Darwin NÃºÃ±ez,uy URU,FW,Liverpool,25.0,1999.0,30,8,1133,12.6,5,2,7
388,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17.0,2007.0,26,11,895,9.9,4,2,6
389,Christian NÃ¸rgaard,dk DEN,MF,Brentford,30.0,1994.0,34,34,2819,31.3,5,4,9
390,Jake O'Brien,ie IRL,DF,Everton,23.0,2001.0,20,17,1571,17.5,2,0,2
391,Matt O'Riley,dk DEN,MF,Brighton,23.0,2000.0,21,11,938,10.4,2,2,4
