Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
526,Axel Tuanzebe,cd COD,DF,Ipswich Town,26.0,1997.0,22,20,1710,19.0,0,1,1
527,Destiny Udogie,it ITA,DF,Tottenham,21.0,2002.0,25,24,1924,21.4,0,1,1
528,Manuel Ugarte Ribeiro,uy URU,MF,Manchester  Utd,23.0,2001.0,29,22,1785,19.8,1,2,3
529,Lesley Ugochukwu,fr FRA,MF,Southampton,20.0,2004.0,26,18,1655,18.4,1,1,2
530,Enes Ãnal,tr TUR,"FW,MF",Bournemouth,27.0,1997.0,17,2,345,3.8,2,1,3
531,Virgil van Dijk,nl NED,DF,Liverpool,33.0,1991.0,37,37,3330,37.0,3,1,4
532,Jamie Vardy,eng ENG,FW,Leicester  City,37.0,1987.0,35,35,2823,31.4,9,4,13
533,Renato Veiga,pt POR,"DF,MF",Chelsea,21.0,2003.0,7,1,181,2.0,0,0,0
534,JoÃ«l Veltman,nl NED,DF,Brighton,32.0,1992.0,21,19,1697,18.9,0,0,0
535,Micky van de Ven,nl NED,DF,Tottenham,23.0,2001.0,13,12,1015,11.3,0,2,2
536,Bart Verbruggen,nl NED,GK,Brighton,21.0,2002.0,36,36,3240,36.0,0,1,1
537,Jannik Vestergaard,dk DEN,DF,Leicester  City,31.0,1992.0,18,16,1391,15.5,0,0,0
538,Guglielmo Vicario,it ITA,GK,Tottenham,27.0,1996.0,24,24,2160,24.0,0,0,0
539,Carlos VinÃ­cius,br BRA,"MF,FW",Fulham,29.0,1995.0,3,0,16,0.2,0,0,0
540,Kyle Walker,eng ENG,DF,Manchester  City,34.0,1990.0,15,9,970,10.8,0,0,0
541,Kyle Walker-Peters,eng ENG,DF,Southampton,27.0,1997.0,33,33,2918,32.4,0,2,2
542,Christian Walton,eng ENG,GK,Ipswich Town,28.0,1995.0,7,7,630,7.0,0,0,0
543,Aaron Wan-Bissaka,eng ENG,DF,West Ham,26.0,1997.0,36,35,3154,35.0,2,5,7
544,Danny Ward,wls WAL,GK,Leicester  City,31.0,1993.0,2,1,135,1.5,0,0,0
545,Joel Ward,eng ENG,DF,Crystal  Palace,34.0,1989.0,2,1,71,0.8,0,0,0
546,James Ward-Prowse,eng ENG,MF,West Ham,29.0,1994.0,15,12,1039,11.5,1,1,2
548,Ollie Watkins,eng ENG,FW,Aston Villa,28.0,1995.0,38,31,2598,28.9,16,8,24
549,Adam Webster,eng ENG,DF,Brighton,29.0,1995.0,14,11,887,9.9,0,0,0
550,Danny Welbeck,eng ENG,FW,Brighton,33.0,1990.0,30,24,2115,23.5,10,4,14
551,Welington,br BRA,DF,Southampton,23.0,2001.0,10,6,482,5.4,0,0,0
552,Timo Werner,de GER,"FW,MF",Tottenham,28.0,1996.0,18,4,516,5.7,0,3,3
553,Adam Wharton,eng ENG,MF,Crystal  Palace,20.0,2004.0,20,16,1318,14.6,0,2,2
554,Ben White,eng ENG,DF,Arsenal,26.0,1997.0,17,13,1198,13.3,0,2,2
555,Mats Wieffer,nl NED,"DF,MF",Brighton,24.0,1999.0,25,10,1015,11.3,1,3,4
556,Neco Williams,wls WAL,DF,Nott'ham  Forest,23.0,2001.0,35,28,2594,28.8,1,3,4
557,Willian,br BRA,"FW,MF",Fulham,35.0,1988.0,10,2,257,2.9,0,0,0
558,Joe Willock,eng ENG,"MF,FW",Newcastle  Utd,24.0,1999.0,32,11,1086,12.1,0,2,2
559,Callum Wilson,eng ENG,FW,Newcastle  Utd,32.0,1992.0,18,2,370,4.1,0,0,0
560,Harry Wilson,wls WAL,"FW,MF",Fulham,27.0,1997.0,25,12,1162,12.9,6,1,7
561,Harry Winks,eng ENG,MF,Leicester  City,28.0,1996.0,22,17,1538,17.1,0,2,2
562,Ben Winterburn,eng ENG,"MF,FW",Bournemouth,19.0,2004.0,4,0,24,0.3,0,0,0
563,Yoane Wissa,cd COD,FW,Brentford,27.0,1996.0,35,34,2919,32.4,19,4,23
564,Chris Wood,nz NZL,FW,Nott'ham  Forest,32.0,1991.0,36,35,2959,32.9,20,3,23
565,Nathan Wood-Gordon,eng ENG,DF,Southampton,22.0,2002.0,11,9,773,8.6,0,0,0
566,Luke Woolfenden,eng ENG,DF,Ipswich Town,25.0,1998.0,15,12,1187,13.2,0,0,0
567,Yehor Yarmoliuk,ua UKR,MF,Brentford,20.0,2004.0,31,15,1450,16.1,0,0,0
568,Ryan Yates,eng ENG,MF,Nott'ham  Forest,26.0,1997.0,35,18,1915,21.3,2,1,3
569,Leny Yoro,fr FRA,DF,Manchester  Utd,18.0,2005.0,21,12,1165,12.9,0,0,0
570,Ashley Young,eng ENG,DF,Everton,39.0,1985.0,32,19,1875,20.8,1,3,4
571,Illia Zabarnyi,ua UKR,DF,Bournemouth,21.0,2002.0,36,35,3109,34.5,0,1,1
572,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,27.0,1996.0,15,5,527,5.9,0,1,1
573,Joshua Zirkzee,nl NED,"FW,MF",Manchester  Utd,23.0,2001.0,32,14,1402,15.6,3,1,4
574,Martin Ãdegaard,no NOR,MF,Arsenal,25.0,1998.0,30,26,2325,25.8,3,8,11
